?c	?label	?d
<http://purl.obolibrary.org/obo/UBERON_3010329>	"perivitelline space"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000859>	"specialized hemal arch and spine"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010081>	"interorbital fold"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200053>	"diphycercal tail"@en	"An internally and externally symmetrical tail (caudal) fin"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001169>	"vertebral element 3"^^<http://www.w3.org/2001/XMLSchema#string>	"Vertebra that is posteriorly adjacent to vertebra 2."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010305>	"germinal vesicle"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000375>	"palatine process of the pars facialis of the maxilla"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000424>	"opercular lateral line"^^<http://www.w3.org/2001/XMLSchema#string>	"One of eight distinct lateral lines in the 4-day larva. A sensory system on the surface of the fish, consisting of small sensory patches (neuromasts) distributed in discrete lines over the body surface. The lateral line system is stimulated by local water displacements and vibrations, and detects propulsion of the fish through the water, as well as facilitating shoaling, prey capture, and predator and obstacle avoidance. (See Anatomical Atlas entry for lateral line by T. Whitfield.)"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2007031>	"anterior neural rod"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001281>	"branchiostegal ray 2"^^<http://www.w3.org/2001/XMLSchema#string>	"Branchiostegal ray that is the second anterior-most ray in the adult."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000090>	"integumentary skeleton"^^<http://www.w3.org/2001/XMLSchema#string>	"Skeletal subdivision that is part of the extra-oral dermal skeletal system that develops and remains invested within the integument, primarily the dermis."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002044>	"anterior limb of parapophysis 4"^^<http://www.w3.org/2001/XMLSchema#string>	"Process that arises and projects anterolaterally from parapophysis 4. Anterior limb of parapophysis 4 is bilaterally paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001343>	"telencephalon diencephalon boundary"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005255>	"frontal-parietal joint"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005193>	"RoI2R"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010105>	"anterodorsal lateral line nerve (ADLLN)"^^<http://www.w3.org/2001/XMLSchema#string>	"Sensory nerve of the anterior lateral line component. It develops from the preotic anterodorsal placode. ADLLN branches into two rami innervating orbital lines of neuromasts."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000448>	"posterior maxillary process"^^<http://www.w3.org/2001/XMLSchema#string>	"Process that extends posteriorly from the planum triangulare and invests the maxilla laterally and the anterior ramus of the pterygoid medially."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010194>	"mediale"^^<http://www.w3.org/2001/XMLSchema#string>	"A recurrent variant of salamanders; a rhomboidal cartilage lying immediately postaxial from the centrale or centrale 1."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000916>	"muscle pioneer somite 14"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010633>	"flask cell"^^<http://www.w3.org/2001/XMLSchema#string>	"Type of cell that appears in epidermis during metamorphosis and is rich in mitochondria."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200012>	"ectepicondylar flange"@en	"Flange present of the distal region of the humerus, associated with extensor musculature of forelimb."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000261>	"pharyngohyoid"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001468>	"anterior lateral line system"^^<http://www.w3.org/2001/XMLSchema#string>	"The anterior lateral line system develops from cranial ectodermal placodes, situated between the eye and the ear, that give rise to both the neuromasts and the anterior lateral line sensory nerves that innervate the neuromasts. The anterior lateral line system consists of small sensory patches (neuromasts) located superficially on the skin or just under the skin in fluid-filled canals on the head of all fishes and most amphibians and are innervated by several lateral line nerves, which project to the hindbrain. The anterior lateral line system is stimulated by local water displacements and vibrations, and detects propulsion of the fish through the water, as well as facilitating shoaling, prey capture, and predator and obstacle avoidance."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000364>	"hypural"^^<http://www.w3.org/2001/XMLSchema#string>	"Laterally flattened haemal spine of an ural vertebra that lacks its arch and supports a few principal caudal lepidotrichia distally. A hypural may articulate or fuse with its ural centrum proximally or may lie ventral to the notochord. A hypural is an unpaired median bone that ossifies perichondrally. (Modified from Monod, 1968 and Arratia and Schultze, 1992)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000779>	"pectoral fenestra"^^<http://www.w3.org/2001/XMLSchema#string>	"Ovoid space on the pectoral girdle limited anteriorly by the procoracoid, medially by the epicoracoid, and posteriorly by the coracoid."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000745>	"epaxial region somite 25"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000909>	"sulcus proximalis ossis cruris"^^<http://www.w3.org/2001/XMLSchema#string>	"In a fused tibiofibula, longitudinal furrow in the proximal portion of the compound bone that demarcates the area of fusion of both elements."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010671>	"ramule palatonasalis"^^<http://www.w3.org/2001/XMLSchema#string>	"Descends and branches to the buccal roof where it anastomoses with the palatine ramus of the facial nerve."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000826>	"central nucleus torus semicircularis"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000648>	"dorsal fin musculature"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200135>	"puboischiadic bar"@en	"A transverse flattened or cylindrical plate in the posterior body wall opposite the anterior ends of the pelvic fins, in front of the vent and at the posterior end of the body cavity, that supports a few anterior pelvic radials and a basal cartilage, the basipterygium.  from  Leonard J. V. Compagno. 2001. Sharks of the World: An Annotated and Illustrated Catalogue of Shark Species Known to Date. Volume 2."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000732>	"somite 3"^^<http://www.w3.org/2001/XMLSchema#string>	"Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002033>	"prootic-pterosphenoid joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates the prootic and pterosphenoid. prootic-pterosphenoid joint is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010323>	"obsolete hematopoietic stem cell"^^<http://www.w3.org/2001/XMLSchema#string>	"A stem cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000294>	"median prenasal process"^^<http://www.w3.org/2001/XMLSchema#string>	"Anterior projection of the septum nasi that protrudes through the anterior nasal wall."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000635>	"central pretectal nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001782>	"pelvic fin lepidotrichium 7"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002077>	"lateropterygium"^^<http://www.w3.org/2001/XMLSchema#string>	"Bone that is attached or adjacent to lateral margin of basipterygium and anterior to pelvic fin lepidotrichium 1. The lateropterygium is a paired bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001480>	"dorsal anterior lateral line nerve"^^<http://www.w3.org/2001/XMLSchema#string>	"Nerve fibers originating from the dorsal anterior lateral line ganglion. These rami innervate the otic, supraorbital, and infraorbital neuromasts."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200051>	"cotyloid notch"@en	"A notch or opening in the ventral part of the acetabular rim."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010291>	"obsolete gamete"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001430>	"pneumatic duct"^^<http://www.w3.org/2001/XMLSchema#string>	"A duct connecting the esophagus to the posterior chamber of the swim bladder. Finney et al, 2006."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000309>	"E-YSL"^^<http://www.w3.org/2001/XMLSchema#string>	"The portion of the YSL that is outside of the blastoderm margin during epiboly. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000786>	"fossa cubitalis ventralis"^^<http://www.w3.org/2001/XMLSchema#string>	"Depresion on the distal end of the humerus, just anterior to the humeral head, in which the end of the radius fits when the forelimb is flexed."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005270>	"depressor muscle"^^<http://www.w3.org/2001/XMLSchema#string>	"A muscle that moves body parts into an inferior direction or lowered position. Antagonistic to erector muscle."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000396>	"pars dentalis of maxilla"^^<http://www.w3.org/2001/XMLSchema#string>	"Tooth-bearing part of the maxilla."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002226>	"preglomerular nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	"Diencephalic nucleus which is located in the caudal tuberculum. The preglomerular nuclei make up most of the migrated nuclei within the caudal tuberculum. From Neuroanatomy of the Zebrafish Brain."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010465>	"animal cap outer layer"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000993>	"lateral wall neural rod"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005195>	"MiD3cl"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000342>	"dorsal inclinator"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001523>	"hypobranchial 4 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Hypobranchial cartilage that is bilaterally paired and articulates laterally with ceratobranchial 4 cartilage or bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001659>	"upper pharyngeal tooth"^^<http://www.w3.org/2001/XMLSchema#string>	"Tooth that is attached to the upper pharyngeal tooth plate."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001938>	"maxillary barbel"^^<http://www.w3.org/2001/XMLSchema#string>	"Barbel that is attached to the distal end of the maxilla and that originates on the side of the mouth. Maxillary barbel is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001988>	"centrum 6"^^<http://www.w3.org/2001/XMLSchema#string>	"Centrum that is part of vertebra 6."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002111>	"prootic bulla"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010098>	"M. plantaris profundus"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates on the medial half of the ligamentum calcanei and inserts along the dorsal surface of the aponeurosis plantaris and extends to the level of the base of the prehallux."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010453>	"ventral marginal zone"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010379>	"inner fin tissue"^^<http://www.w3.org/2001/XMLSchema#string>	"Part of the fin consisting of a supporting core of mesenchyme and extracellular matrix."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001984>	"centrum 2"^^<http://www.w3.org/2001/XMLSchema#string>	"Centrum that is part of vertebra 2."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000068>	"cartilago ectochoanalis"^^<http://www.w3.org/2001/XMLSchema#string>	"Lateral cartilaginous border of the fenestra endochoanalis."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000398>	"nucleus isthmi"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001935>	"oral disk"^^<http://www.w3.org/2001/XMLSchema#string>	"Lip that is expanded to form a broad, rounded cup around the mouth."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002096>	"bony plate series"^^<http://www.w3.org/2001/XMLSchema#string>	"Anatomical cluster that consists of more than one bony plate in an individual."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001274>	"coronomeckelian"^^<http://www.w3.org/2001/XMLSchema#string>	"Tendon bone located on the median side of the lower jaw, dorsal to Meckel's cartilage and medial to the angular. The coronomeckelian forms as an ossification of the tendon of the adductor mandibulae muscle. The coronomeckelian is a paired bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000899>	"hypaxial region somite 29"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000954>	"sclerotome somite 15"^^<http://www.w3.org/2001/XMLSchema#string>	"Medial ventral region of the somite that will form vertebral cartilages. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001152>	"tooth 3MD"^^<http://www.w3.org/2001/XMLSchema#string>	"Ceratobranchial 5 tooth which is posterior to tooth 2MD and anterior to tooth 4MD in the mediodorsal tooth row."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001043>	"sclerotome somite 27"^^<http://www.w3.org/2001/XMLSchema#string>	"Medial ventral region of the somite that will form vertebral cartilages. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000437>	"planum conchale"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001751>	"rib of vertebra 5"^^<http://www.w3.org/2001/XMLSchema#string>	"Rib that articulates with the parapophysis of the fifth centrum."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001778>	"pelvic fin lepidotrichium 3"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005074>	"central cardiac conduction system"^^<http://www.w3.org/2001/XMLSchema#string>	"Cardiac conduction system, characterized by slow impulse propagation and prolonged refractory periods."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001806>	"intracranial diverticulum of swimbladder"^^<http://www.w3.org/2001/XMLSchema#string>	"An anterior extension of the swimbladder that passes through a foramen in the exoccipital; part of the otophysic connection between swimbladder and inner ear."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010664>	"m. intertransversarius capitus superior"^^<http://www.w3.org/2001/XMLSchema#string>	"Involved in the movement of the head."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000480>	"caudal octavolateralis nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	"Hindbrain nucleus which is part of the medulla oblongata and is a mechanoreceptive area along with the medial octavolateralis nucleus. It is smaller than the medial octavolateralis nucleus and is located lateral to the facial and vagal lobes of the medulla oblongata. From Neuroanatomy of the Zebrafish Brain."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001748>	"superficial ophthalmic nerve foramen"^^<http://www.w3.org/2001/XMLSchema#string>	"Foramen through which the superficial ophthalmic nerve passes."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000794>	"displasiocoelous"^^<http://www.w3.org/2001/XMLSchema#string>	"Vertebral column in which the first seven vertebrae have holochordal centra and the intervertebral cartilages are posteriorly subdivided in the procoelous manner. The eighth presacral vertebra has a holochordal centrum and the intervertebral cartilage is subdivided in the opisthocoelous manner. Thus, the first seven presacral vertebrae are concave anteriorly and convex posteriorly, whereas the eighth is biconcave."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000122>	"acellular bone tissue"^^<http://www.w3.org/2001/XMLSchema#string>	"Mineralized bone tissue that has terminally differentiated osteoblasts but lacks osteocytes."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001521>	"ceratobranchial 5 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Ceratobranchial cartilage that is the most posterior, bilaterally paired ventral pharyngeal arch cartilage."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000813>	"sulcus pro cartilagine praecoracoidealis"^^<http://www.w3.org/2001/XMLSchema#string>	"Canal on the posterior aspect of the clavicle that accomodates the anterior margin of the procoracoid cartilage."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000969>	"slow muscle cell somite 23"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200003>	"archipterygial fin"@en	"A type of pectoral fin in which the endoskeletal elements have a main axis that runs through the center of the fin. This creates a bilateraly symetrical fin. (Modified from Kardong 2012)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001481>	"ventral anterior lateral line nerve"^^<http://www.w3.org/2001/XMLSchema#string>	"Nerve fibers originating from the ventral anterior lateral line ganglion. These rami innervate the mandibular and opercular neuromasts."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000930>	"myotome somite 24"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of the somite giving rise to body wall muscle masses. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002130>	"caudal appendage"^^<http://www.w3.org/2001/XMLSchema#string>	"Multi-tissue structure that is region of the body posterior to the last anal-fin ray."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005264>	"supraoccipital-parietal joint"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001142>	"tooth 5V"^^<http://www.w3.org/2001/XMLSchema#string>	"Ceratobranchial 5 tooth which is the posteriormost tooth in the ventral tooth row."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000903>	"tibial crest"^^<http://www.w3.org/2001/XMLSchema#string>	"Ridge that arises from the dorso-masial side of the extensor surface of the tibia. It receives the insertion of the tendon of the extensor ilio-tibialis muscle."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000571>	"presumptive telencephalon"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002019>	"pterotic-posttemporal-supracleithrum"^^<http://www.w3.org/2001/XMLSchema#string>	"Bone that is a fusion of the pterotic, posttemporal, and supracleithrum bones."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000278>	"secondary gustatory nucleus medulla oblongata"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000834>	"sclerotome somite 25"^^<http://www.w3.org/2001/XMLSchema#string>	"Medial ventral region of the somite that will form vertebral cartilages. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010812>	"Dorsal tail tubercle"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000672>	"posterolateral process"^^<http://www.w3.org/2001/XMLSchema#string>	"Paired processes that extend posterolaterally from the posterolateral margin of the hyoid plate. These processes are formed as a result of new cartilaginous growth lateral to the basibranchial and hypobranchial plate."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200130>	"tibial facet of astragalus"@en	"Facet for the articulation of the tibia on the astragalus (talus)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001610>	"quadrate dorsal process"^^<http://www.w3.org/2001/XMLSchema#string>	"An endochondral bone that is the dorsally-oriented bony extension of the quadrate, extending from the anterior portion of the bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005275>	"hyomandibular foramen"^^<http://www.w3.org/2001/XMLSchema#string>	"Foramen in the hyomandibula that allows passage of the anterior lateral line nerve and the facial nerve (cranial nerve VII)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002252>	"epural 1"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001048>	"slow muscle cell somite 13"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000980>	"somite 25"^^<http://www.w3.org/2001/XMLSchema#string>	"Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001986>	"centrum 4"^^<http://www.w3.org/2001/XMLSchema#string>	"Centrum that is part of vertebra 4."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001797>	"epibranchial 1 bone uncinate process"^^<http://www.w3.org/2001/XMLSchema#string>	"Epibranchial uncinate process that is part of epibranchial 1 bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200061>	"epicercal tail"@en	"Tail fin in which the the caudal part of the notochord tapers posterodorsally. Based on Pradel et al. 2007"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200009>	"hypochordal lepidotrichium"@en	"Lepidotrichium located ventral to the notochord"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000087>	"cosmine"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002214>	"os suspensorium medial flange"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000749>	"epaxial region somite 9"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001663>	"basibranchial 4 tooth"^^<http://www.w3.org/2001/XMLSchema#string>	"Tooth that is attached to the basibranchial 4 tooth plate."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000226>	"lateral ethmoid"^^<http://www.w3.org/2001/XMLSchema#string>	"Endochondral bone that separates the olfactory region from the orbit, extends medially to meet its fellow medially below the frontal bones and is bordered by the mesethmoid anteriorly. It may articulate with the autopalatine and infraorbital 1 laterally. The lateral ethmoid is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000880>	"fast muscle cell somite 22"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000544>	"pectoral fin actinotrichium"^^<http://www.w3.org/2001/XMLSchema#string>	"Actinotrichium that is part of the pectoral fin."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005366>	"dorsal fin pterygiophore 3"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.obo/obo/UBERON_4100003>	"articular surface"@en	"Anatomical surface that is part of a skeletal element and articulates with another skeletal element. [NI]"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000293>	"synencephalon"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001253>	"neural arch 2"^^<http://www.w3.org/2001/XMLSchema#string>	"Neural arch that is the second after the neurocranium."^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.geneontology.org/formats/oboInOwl#treat-xrefs-as-is_a>	"treat-xrefs-as-is_a"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000960>	"sclerotome somite 29"^^<http://www.w3.org/2001/XMLSchema#string>	"Medial ventral region of the somite that will form vertebral cartilages. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000867>	"epaxial region somite 18"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001166>	"supraneural 9 bone"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010562>	"suboccular foramen"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000720>	"slow muscle cell somite 24"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001747>	"lateral mesethmoid wing"^^<http://www.w3.org/2001/XMLSchema#string>	"Bony projection located on the anteroventral region of the mesethmoid which articulates with the premaxilla."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001803>	"quadrate-metapterygoid joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates quadrate and metapterygoid bones. Quadrate-metapterygoid joint is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000316>	"nasal opening"^^<http://www.w3.org/2001/XMLSchema#string>	
